"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"IDMPPhPModel","IDMPPhPModel","","","",0,*,"","","","","IDMP Pharmaceutical Product logical model","IDMP Pharmaceutical Product logical model","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"IDMPPhPModel.id","IDMPPhPModel.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"IDMPPhPModel.extension","IDMPPhPModel.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"IDMPPhPModel.identifier","IDMPPhPModel.identifier","","","",0,*,"","","","BackboneElement {[]} {[]}
","Identifiers","Identifiers","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.identifier",0,*,"",""
"IDMPPhPModel.identifier.l1-identifier","IDMPPhPModel.identifier.l1_identifier","","","",0,1,"","","","Identifier {[]} {[]}
","IDMP PhPID Level 1","IDMP PhPID Level 1","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.identifier.l1_identifier",0,1,"",""
"IDMPPhPModel.identifier.l2-identifier","IDMPPhPModel.identifier.l2_identifier","","","",0,1,"","","","Identifier {[]} {[]}
","IDMP PhPID Level 2","IDMP PhPID Level 2","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.identifier.l2_identifier",0,1,"",""
"IDMPPhPModel.identifier.l3-identifier","IDMPPhPModel.identifier.l3_identifier","","","",0,1,"","","","Identifier {[]} {[]}
","IDMP PhPID Level 3","IDMP PhPID Level 3","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.identifier.l3_identifier",0,1,"",""
"IDMPPhPModel.identifier.l4-identifier","IDMPPhPModel.identifier.l4_identifier","","","",0,1,"","","","Identifier {[]} {[]}
","IDMP PhPID Level 4","IDMP PhPID Level 4","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""0x073AF2E5B92AE19E8B67635AFFB3D6CA""/>","","",,,,,"",,,,"IDMPPhPModel.identifier.l4_identifier",0,1,"",""
"IDMPPhPModel.ingredient","IDMPPhPModel.ingredient","","","",1,*,"","","","BackboneElement {[]} {[]}
","Ingredient(s) that are part of the product, with therapeutical usage or not","Ingredient(s) that are part of the product, with therapeutical usage or not","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.ingredient",1,*,"",""
"IDMPPhPModel.ingredient.substance","IDMPPhPModel.ingredient.substance","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Codification of the substance","Codification of the substance","","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""Amlodipine Besilate""/>","","",,,,,"",,,,"IDMPPhPModel.ingredient.substance",1,1,"",""
"IDMPPhPModel.ingredient.strength","IDMPPhPModel.ingredient.strength","","","",1,1,"","","","BackboneElement {[]} {[]}
","Authorized strength of the substance","Authorized strength of the substance","","","","","","","","","",,,,,"",,,,"IDMPPhPModel.ingredient.strength",1,1,"",""
